,orig_shape_GDD,orig_var_GDD,orig_shape_V,orig_shape_H,orig_shape_D1,orig_shape_D2,orig_mean_V,orig_mean_H,orig_mean_D1,orig_mean_D2,orig_lvar_V,orig_lvar_H,orig_lvar_D1,orig_lvar_D2,orig_rvar_V,orig_rvar_H,orig_rvar_D1,orig_rvar_D2,low_shape_GDD,low_var_GDD,low_shape_V,low_shape_H,low_shape_D1,low_shape_D2,low_mean_V,low_mean_H,low_mean_D1,low_mean_D2,low_lvar_V,low_lvar_H,low_lvar_D1,low_lvar_D2,low_rvar_V,low_rvar_H,low_rvar_D1,low_rvar_D2,filenames
113,1.0060000000000007,0.26612168550491333,0.5460000000000003,-0.008007894178118265,0.11310405475922014,0.10388450497252766,0.5330000000000004,0.033841587686493826,0.09341352155214455,0.13357461073611265,0.5620000000000003,-0.039578486114159414,0.12689783163111557,0.08292377238206328,0.5700000000000003,-0.049828615238897235,0.1309160289117841,0.07641516557521655,9.999000000000008,4090.111253797735,9.999000000000008,6.794456820808545,0.0,62.33976240060582,9.999000000000008,6.762515828147241,0.0,61.75501703900037,9.999000000000008,6.776774661078701,0.0,62.015713744793636,9.999000000000008,6.794535488886892,0.0,62.34120598258235,20150415_tag_3223_rect.jpg
114,0.9800000000000006,0.24507850408554077,0.5160000000000002,0.005998526704067683,0.09150140565488929,0.0981379451524953,0.5090000000000003,0.04836109980466611,0.0711506856225732,0.1254809948386857,0.5460000000000003,-0.0367106396224733,0.10802230049344885,0.06995766033161122,0.5520000000000003,-0.04364808030317114,0.11087300566750002,0.06608343986972987,9.999000000000008,5556.243661232092,9.999000000000008,6.782866461740999,0.0,62.127258597883596,9.999000000000008,6.792365860981341,0.0,62.3013988095238,9.999000000000008,6.798158190940281,0.0,62.40770171957672,9.999000000000008,6.795285707187408,0.0,62.35497354497354,20150415_tag_3223_rect_out.jpeg
115,0.9460000000000006,0.2266698032617569,0.48500000000000026,0.03637364995468568,0.061341636852731085,0.09932041955498594,0.5000000000000002,0.07747444317633909,0.04204521184339449,0.12006060420862585,0.5210000000000004,-0.01771100373895014,0.0813894674643656,0.06432248394463969,0.5240000000000002,-0.026665370223229547,0.08594459789201014,0.060327660553980644,9.999000000000008,6047.258734504131,9.999000000000008,6.722708198705698,0.0,61.03011363636364,9.999000000000008,6.820972138465916,0.0,62.82727272727273,9.999000000000008,6.834868137937879,0.0,63.08352272727272,9.999000000000008,6.688290869115286,0.0,60.406818181818174,20150415_tag_64447_rect.jpg
116,0.9800000000000006,0.22669386863708496,0.5320000000000003,0.05614315903956803,0.04588870271118872,0.09833569131092545,0.5280000000000002,0.0764565736944139,0.03821324755594291,0.10976092771503332,0.5640000000000003,-0.010624947737127768,0.07084733885122674,0.0614426017013161,0.5650000000000004,-0.008231507869603768,0.0687364618134012,0.061510812658127634,9.999000000000008,7049.491084694647,9.999000000000008,6.74073821913064,0.0,61.357913011695906,9.999000000000008,6.8087037976779206,0.0,62.60147112573099,9.999000000000008,6.792059479417823,0.0,62.29577850877194,9.999000000000008,6.7723949957952865,0.0,61.935581140350884,20150415_tag_64447_rect_out.jpeg
117,1.0510000000000008,0.2529161274433136,0.5890000000000004,0.07122549572569405,0.04923512691475751,0.1170893848680743,0.5840000000000003,0.09343469649588794,0.04104295106902023,0.13030966167460267,0.6120000000000003,0.0002940873611440977,0.07818765646934711,0.07846114549289496,0.6160000000000003,-0.006995945602657082,0.08114339437815943,0.07467379507321326,9.999000000000008,4147.581870916668,9.999000000000008,6.79832769176209,0.0,62.41081382385731,9.999000000000008,6.839763114593104,0.0,63.17391304347826,9.999000000000008,6.767254913613407,0.0,61.84160163507989,9.999000000000008,6.841510541156577,0.0,63.20619658119658,20150415_tag_65_rect.jpg
118,1.0180000000000007,0.2443290650844574,0.5580000000000003,0.061034426034053395,0.05204205854387056,0.11138357845142366,0.5520000000000003,0.08828216037332429,0.04027623736067998,0.12547333059907206,0.5930000000000004,-0.0093790584672362,0.07882630598254892,0.07020720811539505,0.5890000000000004,-0.007065684763720283,0.07846051105349616,0.07191768993610825,9.999000000000008,5195.720002629595,9.999000000000008,6.754397885563644,0.0,61.606840593213754,9.999000000000008,6.756405558353941,0.0,61.64346998990606,9.999000000000008,6.779016906316986,0.0,62.05675906514482,9.999000000000008,6.77335602476719,0.0,61.953160183244044,20150415_tag_65_rect_out.jpeg
119,0.9110000000000007,0.18034964799880981,0.47600000000000026,0.03418237016772531,0.03792185584817176,0.06697310542879009,0.47700000000000026,0.052933515794138526,0.029164257129112636,0.07282314858372274,0.5090000000000003,-0.017945155455717544,0.05369185902941198,0.03970044283524232,0.5020000000000002,-0.010449759056151156,0.0514893225388926,0.043211290150289905,9.999000000000008,2839.408287274661,9.999000000000008,6.771530145129113,0.0,61.919763513513516,9.999000000000008,6.789036275696395,0.0,62.24033408408409,9.999000000000008,6.759171080188934,0.0,61.69394394394395,9.999000000000008,6.803139158857475,0.0,62.499186686686684,20150429_tag_2673_rect.jpg
120,0.9170000000000007,0.1940271109342575,0.47400000000000025,0.033069300935117604,0.046316885842694555,0.07690985228736569,0.47700000000000026,0.0464582385157992,0.039138291552603954,0.08110854066958328,0.5160000000000002,-0.026268637899152084,0.06563769970250011,0.04368130784708857,0.5110000000000003,-0.02353179313617344,0.06642818234578929,0.04633201738482118,9.999000000000008,4460.81329244655,9.999000000000008,6.76524793840023,0.0,61.804926156237855,9.999000000000008,6.759278749159513,0.0,61.69590944422853,9.999000000000008,6.7709244205514585,0.0,61.908686358336574,9.999000000000008,6.768489947464789,0.0,61.864176059075,20150429_tag_2673_rect_out.jpeg
121,1.0600000000000007,0.24695570766925812,0.5900000000000003,0.09145461020383767,0.03971591904166716,0.12505614162599787,0.5960000000000003,0.06765089197260729,0.04684765706831606,0.10897600531680851,0.6080000000000003,0.002538849734802422,0.07612433272712238,0.07847628932086881,0.6140000000000003,-0.0014486839980970506,0.07589033172920168,0.07457180272405495,9.999000000000008,2624.9928250519392,9.999000000000008,6.758745989720571,0.0,61.686184210526314,9.999000000000008,6.759782107667685,0.0,61.705098684210526,9.999000000000008,6.797994913220798,0.0,62.404703947368425,9.999000000000008,6.760564046314702,0.0,61.71937499999999,20150429_tag_2741_rect.jpg
122,1.0220000000000007,0.2490653097629547,0.5560000000000003,0.07600796190889497,0.049806749909917736,0.12596655620964103,0.5580000000000003,0.058217281887499944,0.055710743548363695,0.11341465386807048,0.5850000000000004,-0.010645988488265019,0.08642085998939653,0.07614309797301733,0.5870000000000004,-0.014026459070930173,0.08738126112888622,0.07391794079305569,9.999000000000008,3534.18418337882,9.999000000000008,6.772016163439349,0.0,61.92865226337449,9.999000000000008,6.772851438986999,0.0,61.94393004115227,9.999000000000008,6.77294283494054,0.0,61.945601851851855,9.999000000000008,6.788222367113898,0.0,62.225411522633735,20150429_tag_2741_rect_out.jpeg
